,seconds,Civilian,Pepper Spray,Chemical Smoke,Baton,Officer,Riot Shield,Gun
0,00:00:00,0,0,0,0,0,0,0
1,00:00:01,0,0,0,0,0,0,0
2,00:00:02,0,0,0,0,0,0,0
3,00:00:03,0,0,0,0,0,0,0
4,00:00:04,0,0,0,0,0,0,0
5,00:00:05,0,0,1,0,0,0,0
6,00:00:06,0,0,0,0,0,0,0
7,00:00:07,0,0,0,0,0,0,0
8,00:00:08,0,0,0,0,0,0,0
9,00:00:09,0,0,0,0,0,0,0
10,00:00:10,0,0,0,0,0,0,0
11,00:00:11,0,0,0,0,0,0,0
12,00:00:12,0,0,0,0,0,0,0
13,00:00:13,0,0,0,0,0,0,0
14,00:00:14,0,0,0,0,0,0,0
15,00:00:15,0,0,0,0,0,0,0
16,00:00:16,0,0,0,0,0,0,0
17,00:00:17,0,0,0,0,0,0,0
18,00:00:18,0,0,0,0,0,0,0
19,00:00:19,0,0,0,0,0,0,0
20,00:00:20,0,0,0,0,0,0,0
21,00:00:21,0,0,0,0,0,0,0
22,00:00:22,0,0,0,0,0,0,0
23,00:00:23,0,0,0,0,0,0,0
24,00:00:24,0,0,0,0,0,0,0
25,00:00:25,1,0,1,0,0,0,0
26,00:00:26,1,0,0,0,0,0,0
27,00:00:27,0,0,0,0,0,0,0
28,00:00:28,0,0,0,0,0,0,0
29,00:00:29,0,0,0,0,0,0,0
30,00:00:30,0,0,1,0,0,0,0
31,00:00:31,0,0,0,0,0,0,0
32,00:00:32,0,0,1,0,0,0,0
33,00:00:33,0,0,0,0,0,0,0
34,00:00:34,0,0,1,0,0,0,0
35,00:00:35,0,0,1,0,0,0,0
36,00:00:36,0,0,0,0,0,0,0
37,00:00:37,0,0,0,0,0,0,0
38,00:00:38,0,0,1,0,0,0,0
39,00:00:39,0,0,1,0,0,0,0
40,00:00:40,0,0,0,0,0,0,0
41,00:00:41,0,0,0,0,0,0,0
42,00:00:42,0,0,0,0,0,0,0
43,00:00:43,0,0,0,0,0,0,0
44,00:00:44,0,0,0,0,0,0,0
45,00:00:45,0,0,0,0,0,0,0
46,00:00:46,0,0,0,0,0,0,0
47,00:00:47,0,0,0,0,0,0,0
48,00:00:48,0,0,0,0,0,0,0
49,00:00:49,0,0,0,0,0,0,0
50,00:00:50,0,0,0,0,0,0,0
51,00:00:51,0,0,0,0,0,0,0
52,00:00:52,0,0,0,0,0,0,0
53,00:00:53,0,0,0,0,0,0,0
54,00:00:54,0,0,0,0,0,0,0
55,00:00:55,0,0,0,0,0,0,0
56,00:00:56,0,0,0,0,0,0,0
57,00:00:57,0,0,0,0,0,0,0
58,00:00:58,0,0,0,0,0,0,0
59,00:00:59,0,0,0,0,0,0,0
60,00:01:00,0,0,0,0,0,0,0
61,00:01:01,0,0,0,0,0,0,0
62,00:01:02,0,0,0,0,0,0,0
63,00:01:03,0,0,0,0,0,0,0
64,00:01:04,0,0,0,0,0,0,0
65,00:01:05,0,0,0,0,0,0,0
66,00:01:06,0,0,0,0,0,0,0
67,00:01:07,0,0,0,0,0,0,0
68,00:01:08,0,0,0,0,0,0,0
69,00:01:09,2,0,0,0,0,0,0
70,00:01:10,0,0,0,0,0,0,0
71,00:01:11,1,0,0,0,0,0,0
72,00:01:12,0,0,0,0,0,0,0
73,00:01:13,0,0,0,0,0,0,0
74,00:01:14,0,0,1,0,0,0,0
75,00:01:15,0,0,0,0,0,0,0
76,00:01:16,0,0,0,0,0,0,0
77,00:01:17,0,0,0,0,0,0,0
78,00:01:18,0,0,0,0,0,0,0
79,00:01:19,0,0,0,0,1,0,0
80,00:01:20,0,0,0,0,0,0,0
81,00:01:21,0,0,0,0,0,0,0
82,00:01:22,0,0,0,0,0,0,0
83,00:01:23,0,0,0,0,0,0,0
84,00:01:24,0,0,0,0,0,0,0
85,00:01:25,0,0,0,0,0,0,0
86,00:01:26,0,0,0,0,2,0,0
87,00:01:27,0,0,0,0,3,0,0
88,00:01:28,0,0,0,0,5,0,0
89,00:01:29,0,0,0,0,1,0,0
90,00:01:30,0,0,0,0,6,0,0
91,00:01:31,0,0,0,0,0,0,0
92,00:01:32,0,0,0,0,0,0,0
93,00:01:33,0,0,0,0,0,0,0
94,00:01:34,0,0,0,0,0,0,0
95,00:01:35,0,0,0,0,1,0,0
96,00:01:36,0,0,0,0,0,0,0
97,00:01:37,0,0,0,0,1,0,0
98,00:01:38,0,0,0,0,3,0,0
99,00:01:39,0,0,0,0,1,0,0
100,00:01:40,0,0,0,0,3,0,0
101,00:01:41,0,0,0,0,3,0,0
102,00:01:42,0,0,0,0,3,0,0
103,00:01:43,0,0,0,0,2,0,0
104,00:01:44,0,0,0,0,3,0,0
105,00:01:45,0,0,0,0,4,0,0
106,00:01:46,0,0,0,0,3,0,0
107,00:01:47,0,0,0,0,3,0,0
108,00:01:48,0,0,0,0,2,0,0
109,00:01:49,0,0,0,0,0,0,0
110,00:01:50,0,0,0,0,3,0,0
111,00:01:51,0,0,0,0,0,0,0
112,00:01:52,0,0,0,0,1,0,0
113,00:01:53,0,0,0,0,0,0,0
114,00:01:54,0,0,0,0,2,0,0
115,00:01:55,0,0,0,0,1,0,0
116,00:01:56,0,0,0,0,1,0,0
117,00:01:57,0,0,0,0,3,0,0
118,00:01:58,0,0,0,0,3,0,0
119,00:01:59,0,0,0,0,2,0,0
120,00:02:00,0,0,0,0,3,0,0
121,00:02:01,0,0,0,0,3,0,0
122,00:02:02,0,0,0,0,4,0,0
123,00:02:03,0,0,0,0,4,0,0
124,00:02:04,0,0,0,0,5,0,0
125,00:02:05,0,0,0,0,4,0,0
126,00:02:06,0,0,0,0,6,0,0
127,00:02:07,0,0,0,0,4,0,0
128,00:02:08,0,0,0,0,4,0,0
129,00:02:09,0,0,0,0,4,0,0
130,00:02:10,0,0,0,0,4,0,0
131,00:02:11,0,0,0,0,5,0,0
132,00:02:12,0,0,0,0,5,0,0
133,00:02:13,0,0,0,0,5,0,0
134,00:02:14,0,0,0,0,5,0,0
135,00:02:15,0,0,0,0,4,0,0
136,00:02:16,0,0,0,0,5,0,0
137,00:02:17,1,0,0,0,6,0,0
138,00:02:18,1,0,0,0,6,0,0
139,00:02:19,2,0,0,0,6,0,0
140,00:02:20,0,0,0,0,8,0,0
141,00:02:21,0,0,0,0,5,0,0
142,00:02:22,0,0,0,0,4,0,0
143,00:02:23,0,0,0,0,6,0,0
144,00:02:24,0,0,0,0,6,0,0
145,00:02:25,0,0,0,0,6,0,0
146,00:02:26,0,0,0,0,6,0,0
147,00:02:27,0,0,0,0,6,0,0
148,00:02:28,0,0,0,0,6,0,0
149,00:02:29,0,0,0,0,6,0,0
150,00:02:30,0,0,0,1,7,0,0
151,00:02:31,0,0,0,0,7,0,0
152,00:02:32,0,0,0,0,5,0,0
153,00:02:33,0,0,0,0,0,0,0
154,00:02:34,3,0,0,0,3,0,0
155,00:02:35,3,0,0,0,4,0,0
156,00:02:36,3,0,0,0,5,0,0
157,00:02:37,3,0,0,0,4,0,0
158,00:02:38,0,0,0,0,4,0,0
159,00:02:39,0,0,0,0,4,0,0
160,00:02:40,0,0,0,0,4,0,0
161,00:02:41,0,0,0,0,6,0,0
162,00:02:42,0,0,0,0,6,0,0
163,00:02:43,0,0,0,0,7,0,0
164,00:02:44,0,0,0,0,6,0,0
165,00:02:45,0,0,0,0,7,0,0
166,00:02:46,0,0,0,0,6,0,0
167,00:02:47,0,0,0,0,7,0,0
168,00:02:48,0,0,0,0,6,0,0
169,00:02:49,0,0,0,0,4,0,0
170,00:02:50,0,0,0,0,4,0,0
171,00:02:51,0,0,0,0,7,0,0
172,00:02:52,0,0,0,0,5,0,0
173,00:02:53,0,0,0,0,4,0,0
174,00:02:54,0,0,0,0,3,0,0
175,00:02:55,0,0,0,0,6,0,0
176,00:02:56,0,0,0,0,4,0,0
177,00:02:57,0,0,0,0,5,0,0
178,00:02:58,0,0,0,0,5,0,0
179,00:02:59,0,0,0,0,5,0,0
180,00:03:00,0,0,0,0,5,0,0
181,00:03:01,0,0,0,0,1,0,0
182,00:03:02,0,0,0,0,6,0,0
183,00:03:03,0,0,0,0,6,0,0
184,00:03:04,0,0,0,0,5,0,0
185,00:03:05,0,0,0,0,9,0,0
186,00:03:06,0,0,0,0,10,0,0
187,00:03:07,0,0,0,0,10,0,0
188,00:03:08,0,0,0,0,8,0,0
189,00:03:09,0,0,0,0,8,0,0
190,00:03:10,0,0,0,0,7,0,0
191,00:03:11,0,0,0,0,7,0,0
192,00:03:12,0,0,0,0,5,0,0
193,00:03:13,0,0,0,0,5,0,0
194,00:03:14,0,0,0,0,7,0,0
195,00:03:15,0,0,0,0,6,0,0
196,00:03:16,0,0,0,0,8,0,0
197,00:03:17,0,0,0,0,8,0,0
198,00:03:18,0,0,0,0,7,0,0
199,00:03:19,0,0,0,0,6,0,0
200,00:03:20,0,0,0,0,6,0,0
201,00:03:21,0,0,0,0,6,0,0
202,00:03:22,0,0,0,0,6,0,0
203,00:03:23,0,0,0,0,8,0,0
204,00:03:24,0,0,0,0,5,0,0
205,00:03:25,0,0,0,0,6,0,0
206,00:03:26,0,0,0,0,6,0,0
207,00:03:27,1,0,0,0,3,0,0
208,00:03:28,0,0,0,0,6,0,0
209,00:03:29,0,0,0,0,3,0,0
210,00:03:30,0,0,0,0,2,0,0
211,00:03:31,0,0,0,0,0,0,0
212,00:03:32,0,0,0,0,1,0,0
